cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
60-64,2,75,6.791,"1,2,3",29.65205479452055
60-64,2,77,8.006,"1,2,3",35.38904109589041
60-64,9,77,7.968,"1,2,3",35.38904109589041
60-64,9,91,7.213,"1,2,3",34.536986301369865
60-64,9,92,6.897,"1,2,3",31.04383561643836
60-64,9,93,8.828,"1,2,3",32.013698630136986
60-64,9,94,7.554,"1,2,3",31.40821917808219
65-69,1,75,8.068,"1,2,3",29.65205479452055
65-69,1,77,10.059,"1,2,3",35.38904109589041
65-69,1,93,10.253,"1,2,3",32.013698630136986
65-69,1,94,9.146,"1,2,3",31.40821917808219
65-69,2,92,7.973,"1,2,3",31.04383561643836
65-69,2,95,9.183,"1,2,3",35.342465753424655
65-69,9,91,7.967,"1,2,3",34.536986301369865
70-74,1,93,12.174,"1,2,3",32.013698630136986
70-74,2,75,8.927,"1,2,3",29.65205479452055
70-74,2,93,10.993,"1,2,3",32.013698630136986
70-74,2,94,9.636,"1,2,3",31.40821917808219
70-74,9,77,10.527,"1,2,3",35.38904109589041
70-74,9,91,9.135,"1,2,3",34.536986301369865
75-79,1,92,10.851,"1,2,3",31.04383561643836
75-79,1,93,14.762,"1,2,3",32.013698630136986
75-79,1,94,12.354,"1,2,3",31.40821917808219
75-79,1,95,12.97,"1,2,3",35.342465753424655
75-79,2,78,9.672,"1,2,3",35.106849315068494
75-79,2,92,9.691,"1,2,3",31.04383561643836
75-79,2,93,12.103,"1,2,3",32.013698630136986
75-79,9,77,12.726,"1,2,3",35.38904109589041
75-79,9,91,10.448,"1,2,3",34.536986301369865
75-79,9,95,11.977,"1,2,3",35.342465753424655
80-84,1,77,14.773,"1,2,3",35.38904109589041
80-84,1,93,14.857,"1,2,3",32.013698630136986
80-84,2,77,11.833,"1,2,3",35.38904109589041
80-84,9,77,13.044,"1,2,3",35.38904109589041
80-84,9,93,13.782,"1,2,3",32.013698630136986
80-84,9,94,12.441,"1,2,3",31.40821917808219
80-84,9,95,13.035,"1,2,3",35.342465753424655
85-89,1,91,13.523,"1,2,3",34.536986301369865
85-89,1,93,16.721,"1,2,3",32.013698630136986
00-04,1,93,7.097,"1,2,3",32.013698630136986
00-04,2,77,4.883,"1,2,3",35.38904109589041
00-04,2,78,5.484,"1,2,3",35.106849315068494
00-04,9,75,5.939,"1,2,3",29.65205479452055
00-04,9,78,7.078,"1,2,3",35.106849315068494
00-04,9,95,6.673,"1,2,3",35.342465753424655
05-09,1,75,5.62,"1,2,3",29.65205479452055
05-09,1,78,5.881,"1,2,3",35.106849315068494
05-09,2,75,3.598,"1,2,3",29.65205479452055
05-09,2,78,3.849,"1,2,3",35.106849315068494
05-09,2,92,3.817,"1,2,3",31.04383561643836
05-09,2,95,4.22,"1,2,3",35.342465753424655
