cla_age_5,sexe,dept,prev,Niveau prioritaire,o3
70-74,1,94,0.41,3,31.40821917808219
70-74,2,75,0.283,3,29.65205479452055
70-74,2,77,0.157,3,35.38904109589041
70-74,2,92,0.228,3,31.04383561643836
70-74,9,77,0.316,3,35.38904109589041
70-74,9,92,0.326,3,31.04383561643836
75-79,1,91,0.528,3,34.536986301369865
75-79,1,93,0.559,3,32.013698630136986
75-79,2,75,0.31,3,29.65205479452055
75-79,2,77,0.211,3,35.38904109589041
75-79,2,78,0.21,3,35.106849315068494
75-79,2,94,0.232,3,31.40821917808219
75-79,9,75,0.407,3,29.65205479452055
75-79,9,77,0.376,3,35.38904109589041
75-79,9,94,0.35,3,31.40821917808219
80-84,1,77,0.535,3,35.38904109589041
80-84,1,92,0.583,3,31.04383561643836
80-84,2,78,0.187,3,35.106849315068494
80-84,2,92,0.26,3,31.04383561643836
80-84,2,93,0.175,3,32.013698630136986
80-84,2,94,0.192,3,31.40821917808219
80-84,9,75,0.392,3,29.65205479452055
80-84,9,94,0.315,3,31.40821917808219
85-89,1,77,0.538,3,35.38904109589041
85-89,1,78,0.46,3,35.106849315068494
85-89,1,91,0.572,3,34.536986301369865
85-89,2,78,0.275,3,35.106849315068494
85-89,2,92,0.184,3,31.04383561643836
85-89,2,94,0.22,3,31.40821917808219
85-89,9,75,0.32,3,29.65205479452055
85-89,9,78,0.343,3,35.106849315068494
85-89,9,95,0.322,3,35.342465753424655
90-94,1,95,0.682,3,35.342465753424655
90-94,2,75,0.172,3,29.65205479452055
90-94,2,93,0.207,3,32.013698630136986
90-94,9,78,0.221,3,35.106849315068494
90-94,9,92,0.204,3,31.04383561643836
90-94,9,93,0.306,3,32.013698630136986
95et+,9,92,0.221,3,31.04383561643836
tsage,1,75,0.093,3,29.65205479452055
tsage,1,91,0.086,3,34.536986301369865
tsage,1,92,0.086,3,31.04383561643836
tsage,2,78,0.056,3,35.106849315068494
tsage,2,95,0.046,3,35.342465753424655
tsage,9,93,0.061,3,32.013698630136986
85-89,2,75,11.279,"1,2,3",29.65205479452055
85-89,2,78,11.314,"1,2,3",35.106849315068494
85-89,9,93,14.235,"1,2,3",32.013698630136986
85-89,9,95,13.046,"1,2,3",35.342465753424655
90-94,1,91,14.157,"1,2,3",34.536986301369865
90-94,1,92,13.516,"1,2,3",31.04383561643836
90-94,2,77,12.54,"1,2,3",35.38904109589041
90-94,2,78,10.917,"1,2,3",35.106849315068494
90-94,2,94,12.028,"1,2,3",31.40821917808219
90-94,9,75,11.593,"1,2,3",29.65205479452055
90-94,9,77,13.819,"1,2,3",35.38904109589041
90-94,9,93,13.501,"1,2,3",32.013698630136986
90-94,9,94,12.715,"1,2,3",31.40821917808219
95et+,1,75,12.194,"1,2,3",29.65205479452055
95et+,1,77,16.279,"1,2,3",35.38904109589041
95et+,1,92,13.934,"1,2,3",31.04383561643836
95et+,1,93,15.273,"1,2,3",32.013698630136986
95et+,2,91,11.165,"1,2,3",34.536986301369865
95et+,9,75,10.979,"1,2,3",29.65205479452055
95et+,9,77,13.682,"1,2,3",35.38904109589041
95et+,9,78,10.763,"1,2,3",35.106849315068494
95et+,9,91,12.15,"1,2,3",34.536986301369865
95et+,9,94,11.221,"1,2,3",31.40821917808219
tsage,1,77,5.556,"1,2,3",35.38904109589041
tsage,1,91,4.87,"1,2,3",34.536986301369865
tsage,1,93,5.397,"1,2,3",32.013698630136986
tsage,1,95,5.219,"1,2,3",35.342465753424655
tsage,2,91,4.661,"1,2,3",34.536986301369865
tsage,2,93,5.308,"1,2,3",32.013698630136986
tsage,2,95,5.074,"1,2,3",35.342465753424655
tsage,9,75,4.468,"1,2,3",29.65205479452055
85-89,2,92,11.726,"1,2,3",31.04383561643836
85-89,2,94,12.039,"1,2,3",31.40821917808219
85-89,2,95,12.15,"1,2,3",35.342465753424655
85-89,9,75,11.858,"1,2,3",29.65205479452055
85-89,9,92,12.135,"1,2,3",31.04383561643836
85-89,9,94,12.939,"1,2,3",31.40821917808219
90-94,1,77,17.086,"1,2,3",35.38904109589041
90-94,2,91,11.94,"1,2,3",34.536986301369865
90-94,2,92,11.124,"1,2,3",31.04383561643836
90-94,9,78,11.701,"1,2,3",35.106849315068494
90-94,9,91,12.581,"1,2,3",34.536986301369865
90-94,9,92,11.832,"1,2,3",31.04383561643836
90-94,9,95,13.012,"1,2,3",35.342465753424655
95et+,1,91,16.159,"1,2,3",34.536986301369865
95et+,1,95,13.369,"1,2,3",35.342465753424655
95et+,2,78,10.259,"1,2,3",35.106849315068494
95et+,2,92,10.604,"1,2,3",31.04383561643836
95et+,2,93,11.718,"1,2,3",32.013698630136986
95et+,2,95,10.766,"1,2,3",35.342465753424655
95et+,9,95,11.323,"1,2,3",35.342465753424655
tsage,1,78,4.925,"1,2,3",35.106849315068494
tsage,1,92,4.676,"1,2,3",31.04383561643836
tsage,2,75,4.41,"1,2,3",29.65205479452055
tsage,2,77,5.262,"1,2,3",35.38904109589041
tsage,9,77,5.403,"1,2,3",35.38904109589041
tsage,9,78,4.762,"1,2,3",35.106849315068494
tsage,9,91,4.761,"1,2,3",34.536986301369865
tsage,9,94,4.91,"1,2,3",31.40821917808219
00-04,1,77,7.769,"1,2,3",35.38904109589041
00-04,1,78,8.583,"1,2,3",35.106849315068494
00-04,1,91,7.03,"1,2,3",34.536986301369865
00-04,2,91,4.427,"1,2,3",34.536986301369865
00-04,2,93,4.473,"1,2,3",32.013698630136986
00-04,9,91,5.756,"1,2,3",34.536986301369865
00-04,9,92,7.206,"1,2,3",31.04383561643836
00-04,9,93,5.82,"1,2,3",32.013698630136986
05-09,1,92,5.629,"1,2,3",31.04383561643836
05-09,1,95,6.451,"1,2,3",35.342465753424655
05-09,2,77,4.521,"1,2,3",35.38904109589041
05-09,2,93,4.375,"1,2,3",32.013698630136986
05-09,2,94,3.682,"1,2,3",31.40821917808219
05-09,9,77,5.693,"1,2,3",35.38904109589041
05-09,9,91,4.72,"1,2,3",34.536986301369865
05-09,9,92,4.743,"1,2,3",31.04383561643836
05-09,9,93,5.537,"1,2,3",32.013698630136986
10-14,1,77,5.039,"1,2,3",35.38904109589041
10-14,2,94,2.489,"1,2,3",31.40821917808219
10-14,9,77,4.139,"1,2,3",35.38904109589041
10-14,9,91,3.346,"1,2,3",34.536986301369865
15-19,1,75,2.663,"1,2,3",29.65205479452055
15-19,1,92,2.314,"1,2,3",31.04383561643836
15-19,1,95,2.594,"1,2,3",35.342465753424655
15-19,2,95,2.4,"1,2,3",35.342465753424655
15-19,9,78,2.259,"1,2,3",35.106849315068494
15-19,9,92,2.185,"1,2,3",31.04383561643836
15-19,9,94,2.229,"1,2,3",31.40821917808219
15-19,9,95,2.496,"1,2,3",35.342465753424655
20-24,1,95,1.941,"1,2,3",35.342465753424655
20-24,2,77,2.235,"1,2,3",35.38904109589041
20-24,2,91,1.932,"1,2,3",34.536986301369865
20-24,2,92,1.805,"1,2,3",31.04383561643836
20-24,9,77,2.193,"1,2,3",35.38904109589041
20-24,9,91,1.876,"1,2,3",34.536986301369865
20-24,9,94,1.842,"1,2,3",31.40821917808219
25-29,2,77,2.397,"1,2,3",35.38904109589041
25-29,2,91,2.287,"1,2,3",34.536986301369865
25-29,2,92,1.807,"1,2,3",31.04383561643836
25-29,2,93,2.283,"1,2,3",32.013698630136986
25-29,2,95,2.306,"1,2,3",35.342465753424655
25-29,9,75,1.512,"1,2,3",29.65205479452055
25-29,9,91,2.054,"1,2,3",34.536986301369865
25-29,9,95,2.123,"1,2,3",35.342465753424655
30-34,1,93,2.231,"1,2,3",32.013698630136986
30-34,1,95,2.237,"1,2,3",35.342465753424655
30-34,2,75,1.837,"1,2,3",29.65205479452055
30-34,2,91,2.617,"1,2,3",34.536986301369865
30-34,2,92,2.135,"1,2,3",31.04383561643836
30-34,9,77,2.633,"1,2,3",35.38904109589041
30-34,9,93,2.556,"1,2,3",32.013698630136986
30-34,9,94,2.302,"1,2,3",31.40821917808219
35-39,1,77,2.853,"1,2,3",35.38904109589041
35-39,1,95,2.596,"1,2,3",35.342465753424655
35-39,2,91,3.105,"1,2,3",34.536986301369865
35-39,2,93,3.487,"1,2,3",32.013698630136986
35-39,2,94,2.859,"1,2,3",31.40821917808219
35-39,2,95,3.082,"1,2,3",35.342465753424655
35-39,9,75,2.194,"1,2,3",29.65205479452055
35-39,9,77,3.13,"1,2,3",35.38904109589041
35-39,9,78,2.683,"1,2,3",35.106849315068494
35-39,9,94,2.615,"1,2,3",31.40821917808219
35-39,9,95,2.854,"1,2,3",35.342465753424655
40-44,1,91,2.976,"1,2,3",34.536986301369865
40-44,1,92,2.539,"1,2,3",31.04383561643836
40-44,2,78,3.115,"1,2,3",35.106849315068494
40-44,2,93,4.273,"1,2,3",32.013698630136986
40-44,9,93,3.694,"1,2,3",32.013698630136986
40-44,9,94,3.188,"1,2,3",31.40821917808219
40-44,9,95,3.466,"1,2,3",35.342465753424655
45-49,1,75,3.04,"1,2,3",29.65205479452055
45-49,1,78,3.215,"1,2,3",35.106849315068494
45-49,2,75,3.572,"1,2,3",29.65205479452055
45-49,2,91,4.136,"1,2,3",34.536986301369865
45-49,2,92,3.753,"1,2,3",31.04383561643836
45-49,9,75,3.31,"1,2,3",29.65205479452055
45-49,9,94,3.838,"1,2,3",31.40821917808219
50-54,1,91,4.003,"1,2,3",34.536986301369865
50-54,1,95,4.514,"1,2,3",35.342465753424655
50-54,2,75,4.413,"1,2,3",29.65205479452055
50-54,2,93,6.483,"1,2,3",32.013698630136986
50-54,2,95,5.819,"1,2,3",35.342465753424655
50-54,9,75,4.127,"1,2,3",29.65205479452055
50-54,9,93,5.699,"1,2,3",32.013698630136986
55-59,1,91,5.31,"1,2,3",34.536986301369865
55-59,1,95,5.72,"1,2,3",35.342465753424655
55-59,2,78,5.518,"1,2,3",35.106849315068494
55-59,9,75,5.416,"1,2,3",29.65205479452055
55-59,9,93,7.201,"1,2,3",32.013698630136986
60-64,1,75,6.375,"1,2,3",29.65205479452055
60-64,1,77,7.927,"1,2,3",35.38904109589041
60-64,1,92,6.577,"1,2,3",31.04383561643836
60-64,1,95,7.641,"1,2,3",35.342465753424655
60-64,2,92,7.164,"1,2,3",31.04383561643836
60-64,2,93,9.304,"1,2,3",32.013698630136986
60-64,2,94,7.72,"1,2,3",31.40821917808219
60-64,9,75,6.6,"1,2,3",29.65205479452055
60-64,9,95,7.857,"1,2,3",35.342465753424655
65-69,1,95,9.414,"1,2,3",35.342465753424655
65-69,2,75,7.869,"1,2,3",29.65205479452055
65-69,2,78,7.7,"1,2,3",35.106849315068494
65-69,2,93,9.994,"1,2,3",32.013698630136986
65-69,9,75,7.959,"1,2,3",29.65205479452055
65-69,9,78,7.844,"1,2,3",35.106849315068494
65-69,9,92,8.181,"1,2,3",31.04383561643836
65-69,9,94,8.919,"1,2,3",31.40821917808219
65-69,9,95,9.294,"1,2,3",35.342465753424655
70-74,1,78,9.44,"1,2,3",35.106849315068494
70-74,1,92,9.636,"1,2,3",31.04383561643836
70-74,1,94,10.763,"1,2,3",31.40821917808219
70-74,1,95,11.045,"1,2,3",35.342465753424655
70-74,2,77,9.748,"1,2,3",35.38904109589041
70-74,2,91,8.674,"1,2,3",34.536986301369865
70-74,2,92,8.602,"1,2,3",31.04383561643836
70-74,2,95,9.933,"1,2,3",35.342465753424655
70-74,9,78,9.109,"1,2,3",35.106849315068494
70-74,9,93,11.582,"1,2,3",32.013698630136986
70-74,9,95,10.465,"1,2,3",35.342465753424655
75-79,1,75,11.181,"1,2,3",29.65205479452055
75-79,2,77,11.384,"1,2,3",35.38904109589041
75-79,9,92,10.205,"1,2,3",31.04383561643836
75-79,9,94,11.403,"1,2,3",31.40821917808219
80-84,1,92,12.49,"1,2,3",31.04383561643836
80-84,2,78,10.292,"1,2,3",35.106849315068494
80-84,2,91,10.482,"1,2,3",34.536986301369865
80-84,2,95,12.034,"1,2,3",35.342465753424655
80-84,9,92,11.412,"1,2,3",31.04383561643836
85-89,1,77,15.534,"1,2,3",35.38904109589041
85-89,1,78,13.158,"1,2,3",35.106849315068494
85-89,1,94,14.616,"1,2,3",31.40821917808219
85-89,1,95,14.677,"1,2,3",35.342465753424655
65-69,1,95,0.651,3,35.342465753424655
65-69,2,78,0.275,3,35.106849315068494
65-69,2,92,0.334,3,31.04383561643836
65-69,2,93,0.333,3,32.013698630136986
70-74,1,75,0.735,3,29.65205479452055
70-74,1,78,0.628,3,35.106849315068494
70-74,1,93,0.888,3,32.013698630136986
70-74,1,94,0.749,3,31.40821917808219
70-74,1,95,0.69,3,35.342465753424655
70-74,2,75,0.405,3,29.65205479452055
70-74,2,77,0.266,3,35.38904109589041
70-74,2,78,0.31,3,35.106849315068494
70-74,2,91,0.254,3,34.536986301369865
70-74,2,94,0.372,3,31.40821917808219
70-74,9,92,0.539,3,31.04383561643836
70-74,9,93,0.584,3,32.013698630136986
70-74,9,95,0.484,3,35.342465753424655
75-79,1,77,0.829,3,35.38904109589041
75-79,1,92,0.729,3,31.04383561643836
75-79,1,94,0.794,3,31.40821917808219
75-79,1,95,0.852,3,35.342465753424655
75-79,2,75,0.51,3,29.65205479452055
75-79,2,78,0.306,3,35.106849315068494
75-79,9,94,0.513,3,31.40821917808219
75-79,9,95,0.512,3,35.342465753424655
80-84,1,78,0.692,3,35.106849315068494
80-84,1,93,0.905,3,32.013698630136986
80-84,1,94,0.818,3,31.40821917808219
80-84,2,78,0.358,3,35.106849315068494
80-84,2,92,0.383,3,31.04383561643836
80-84,9,94,0.51,3,31.40821917808219
85-89,1,91,0.516,3,34.536986301369865
85-89,1,94,0.594,3,31.40821917808219
85-89,2,77,0.133,3,35.38904109589041
85-89,2,92,0.328,3,31.04383561643836
85-89,2,93,0.306,3,32.013698630136986
85-89,2,94,0.234,3,31.40821917808219
85-89,2,95,0.134,3,35.342465753424655
85-89,9,75,0.41,3,29.65205479452055
90-94,1,95,0.591,3,35.342465753424655
90-94,2,92,0.213,3,31.04383561643836
90-94,2,94,0.244,3,31.40821917808219
90-94,9,77,0.207,3,35.38904109589041
90-94,9,78,0.23,3,35.106849315068494
90-94,9,91,0.173,3,34.536986301369865
90-94,9,94,0.256,3,31.40821917808219
tsage,1,75,0.159,3,29.65205479452055
tsage,1,77,0.157,3,35.38904109589041
tsage,1,91,0.148,3,34.536986301369865
tsage,1,94,0.163,3,31.40821917808219
tsage,1,95,0.145,3,35.342465753424655
tsage,2,78,0.084,3,35.106849315068494
tsage,2,91,0.078,3,34.536986301369865
tsage,2,95,0.07,3,35.342465753424655
tsage,9,77,0.117,3,35.38904109589041
tsage,9,93,0.11,3,32.013698630136986
40-44,9,75,0.008,3,29.65205479452055
40-44,9,93,0.013,3,32.013698630136986
45-49,1,75,0.016,3,29.65205479452055
45-49,9,75,0.013,3,29.65205479452055
45-49,9,77,0.023,3,35.38904109589041
45-49,9,92,0.02,3,31.04383561643836
45-49,9,93,0.024,3,32.013698630136986
50-54,1,94,0.078,3,31.40821917808219
50-54,9,91,0.043,3,34.536986301369865
50-54,9,92,0.04,3,31.04383561643836
55-59,1,75,0.086,3,29.65205479452055
55-59,1,78,0.092,3,35.106849315068494
55-59,1,92,0.113,3,31.04383561643836
55-59,1,93,0.12,3,32.013698630136986
55-59,1,94,0.101,3,31.40821917808219
55-59,1,95,0.126,3,35.342465753424655
55-59,2,91,0.082,3,34.536986301369865
55-59,9,75,0.089,3,29.65205479452055
55-59,9,91,0.101,3,34.536986301369865
55-59,9,94,0.081,3,31.40821917808219
55-59,9,95,0.113,3,35.342465753424655
60-64,1,77,0.22,3,35.38904109589041
60-64,1,78,0.243,3,35.106849315068494
60-64,2,95,0.141,3,35.342465753424655
60-64,9,78,0.188,3,35.106849315068494
60-64,9,91,0.17,3,34.536986301369865
60-64,9,93,0.181,3,32.013698630136986
65-69,1,77,0.41,3,35.38904109589041
65-69,1,95,0.263,3,35.342465753424655
65-69,2,77,0.175,3,35.38904109589041
65-69,2,91,0.181,3,34.536986301369865
65-69,2,93,0.187,3,32.013698630136986
65-69,2,94,0.206,3,31.40821917808219
65-69,9,75,0.259,3,29.65205479452055
70-74,1,75,0.484,3,29.65205479452055
70-74,1,78,0.454,3,35.106849315068494
70-74,1,92,0.443,3,31.04383561643836
70-74,2,78,0.205,3,35.106849315068494
70-74,2,91,0.224,3,34.536986301369865
70-74,2,93,0.185,3,32.013698630136986
70-74,2,94,0.24,3,31.40821917808219
70-74,9,75,0.373,3,29.65205479452055
70-74,9,78,0.324,3,35.106849315068494
70-74,9,91,0.36,3,34.536986301369865
70-74,9,94,0.319,3,31.40821917808219
70-74,9,95,0.281,3,35.342465753424655
75-79,1,77,0.569,3,35.38904109589041
75-79,1,78,0.43,3,35.106849315068494
75-79,1,92,0.534,3,31.04383561643836
75-79,1,94,0.5,3,31.40821917808219
75-79,2,92,0.22,3,31.04383561643836
75-79,2,93,0.218,3,32.013698630136986
75-79,9,78,0.312,3,35.106849315068494
75-79,9,91,0.34,3,34.536986301369865
75-79,9,92,0.359,3,31.04383561643836
80-84,1,78,0.411,3,35.106849315068494
80-84,1,93,0.517,3,32.013698630136986
80-84,1,94,0.505,3,31.40821917808219
80-84,2,75,0.328,3,29.65205479452055
80-84,9,78,0.283,3,35.106849315068494
85-89,1,92,0.478,3,31.04383561643836
85-89,1,93,0.699,3,32.013698630136986
85-89,1,95,0.576,3,35.342465753424655
85-89,2,75,0.219,3,29.65205479452055
85-89,2,77,0.159,3,35.38904109589041
85-89,2,91,0.193,3,34.536986301369865
85-89,2,93,0.179,3,32.013698630136986
85-89,9,77,0.292,3,35.38904109589041
85-89,9,94,0.341,3,31.40821917808219
90-94,1,75,0.356,3,29.65205479452055
90-94,1,78,0.31,3,35.106849315068494
90-94,2,91,0.168,3,34.536986301369865
90-94,2,94,0.154,3,31.40821917808219
90-94,9,77,0.185,3,35.38904109589041
90-94,9,94,0.201,3,31.40821917808219
90-94,9,95,0.254,3,35.342465753424655
30-34,9,93,0.011,2,32.013698630136986
35-39,1,75,0.02,2,29.65205479452055
35-39,9,75,0.018,2,29.65205479452055
35-39,9,95,0.013,2,35.342465753424655
40-44,1,78,0.032,2,35.106849315068494
40-44,1,93,0.053,2,32.013698630136986
40-44,1,95,0.047,2,35.342465753424655
40-44,2,75,0.018,2,29.65205479452055
40-44,2,78,0.034,2,35.106849315068494
40-44,2,94,0.038,2,31.40821917808219
40-44,2,95,0.031,2,35.342465753424655
40-44,9,92,0.033,2,31.04383561643836
40-44,9,93,0.041,2,32.013698630136986
40-44,9,94,0.047,2,31.40821917808219
40-44,9,95,0.039,2,35.342465753424655
45-49,1,92,0.063,2,31.04383561643836
45-49,1,93,0.091,2,32.013698630136986
45-49,1,94,0.103,2,31.40821917808219
45-49,1,95,0.098,2,35.342465753424655
45-49,2,91,0.068,2,34.536986301369865
45-49,9,92,0.059,2,31.04383561643836
50-54,1,77,0.186,2,35.38904109589041
50-54,1,91,0.173,2,34.536986301369865
50-54,1,94,0.264,2,31.40821917808219
50-54,2,94,0.153,2,31.40821917808219
50-54,2,95,0.116,2,35.342465753424655
50-54,9,91,0.141,2,34.536986301369865
55-59,1,78,0.318,2,35.106849315068494
55-59,1,91,0.349,2,34.536986301369865
55-59,2,78,0.224,2,35.106849315068494
55-59,2,91,0.274,2,34.536986301369865
55-59,2,94,0.252,2,31.40821917808219
55-59,9,75,0.282,2,29.65205479452055
55-59,9,91,0.311,2,34.536986301369865
55-59,9,92,0.297,2,31.04383561643836
60-64,1,94,0.736,2,31.40821917808219
60-64,1,95,0.655,2,35.342465753424655
60-64,2,75,0.417,2,29.65205479452055
60-64,2,91,0.39,2,34.536986301369865
60-64,2,92,0.417,2,31.04383561643836
60-64,2,93,0.334,2,32.013698630136986
60-64,2,95,0.395,2,35.342465753424655
60-64,9,78,0.514,2,35.106849315068494
60-64,9,92,0.514,2,31.04383561643836
60-64,9,93,0.537,2,32.013698630136986
60-64,9,95,0.519,2,35.342465753424655
65-69,1,93,1.043,2,32.013698630136986
65-69,2,77,0.467,2,35.38904109589041
65-69,2,91,0.424,2,34.536986301369865
65-69,2,93,0.52,2,32.013698630136986
65-69,2,94,0.535,2,31.40821917808219
65-69,2,95,0.433,2,35.342465753424655
70-74,1,91,1.195,2,34.536986301369865
70-74,1,92,1.172,2,31.04383561643836
70-74,2,75,0.689,2,29.65205479452055
70-74,2,78,0.515,2,35.106849315068494
70-74,2,95,0.476,2,35.342465753424655
70-74,9,75,0.927,2,29.65205479452055
70-74,9,94,0.865,2,31.40821917808219
75-79,1,93,1.378,2,32.013698630136986
75-79,1,95,1.379,2,35.342465753424655
75-79,2,92,0.567,2,31.04383561643836
75-79,9,78,0.789,2,35.106849315068494
75-79,9,93,0.922,2,32.013698630136986
75-79,9,94,0.863,2,31.40821917808219
80-84,1,77,1.255,2,35.38904109589041
80-84,2,77,0.426,2,35.38904109589041
80-84,9,95,0.852,2,35.342465753424655
85-89,1,77,1.015,2,35.38904109589041
85-89,1,78,0.956,2,35.106849315068494
85-89,1,92,1.073,2,31.04383561643836
85-89,1,93,1.118,2,32.013698630136986
85-89,1,95,1.03,2,35.342465753424655
85-89,2,75,0.537,2,29.65205479452055
85-89,2,77,0.292,2,35.38904109589041
85-89,2,92,0.512,2,31.04383561643836
85-89,2,95,0.317,2,35.342465753424655
85-89,9,75,0.73,2,29.65205479452055
85-89,9,77,0.546,2,35.38904109589041
85-89,9,94,0.701,2,31.40821917808219
90-94,1,75,0.761,2,29.65205479452055
90-94,1,77,0.697,2,35.38904109589041
90-94,1,78,0.788,2,35.106849315068494
90-94,1,94,0.602,2,31.40821917808219
90-94,2,78,0.305,2,35.106849315068494
90-94,2,95,0.23,2,35.342465753424655
90-94,9,75,0.478,2,29.65205479452055
90-94,9,93,0.55,2,32.013698630136986
90-94,9,94,0.457,2,31.40821917808219
95et+,1,75,0.627,2,29.65205479452055
95et+,2,94,0.365,2,31.40821917808219
95et+,9,91,0.361,2,34.536986301369865
95et+,9,92,0.35,2,31.04383561643836
95et+,9,94,0.374,2,31.40821917808219
tsage,1,91,0.234,2,34.536986301369865
tsage,1,93,0.235,2,32.013698630136986
tsage,1,94,0.246,2,31.40821917808219
tsage,2,78,0.14,2,35.106849315068494
tsage,2,93,0.113,2,32.013698630136986
tsage,2,94,0.145,2,31.40821917808219
40-44,1,78,0.023,3,35.106849315068494
40-44,1,91,0.029,3,34.536986301369865
40-44,1,93,0.032,3,32.013698630136986
40-44,1,94,0.047,3,31.40821917808219
40-44,9,93,0.027,3,32.013698630136986
45-49,1,75,0.067,3,29.65205479452055
45-49,1,91,0.056,3,34.536986301369865
45-49,1,92,0.048,3,31.04383561643836
45-49,1,94,0.085,3,31.40821917808219
45-49,1,95,0.075,3,35.342465753424655
45-49,9,95,0.064,3,35.342465753424655
50-54,1,78,0.134,3,35.106849315068494
50-54,1,91,0.128,3,34.536986301369865
50-54,2,77,0.113,3,35.38904109589041
50-54,2,78,0.092,3,35.106849315068494
50-54,2,92,0.076,3,31.04383561643836
50-54,2,93,0.085,3,32.013698630136986
50-54,9,78,0.112,3,35.106849315068494
50-54,9,93,0.123,3,32.013698630136986
50-54,9,95,0.107,3,35.342465753424655
55-59,1,75,0.213,3,29.65205479452055
55-59,1,78,0.226,3,35.106849315068494
55-59,1,91,0.229,3,34.536986301369865
55-59,1,92,0.208,3,31.04383561643836
55-59,1,94,0.235,3,31.40821917808219
55-59,2,75,0.175,3,29.65205479452055
55-59,2,91,0.192,3,34.536986301369865
55-59,2,92,0.196,3,31.04383561643836
55-59,9,75,0.193,3,29.65205479452055
55-59,9,77,0.24,3,35.38904109589041
55-59,9,92,0.201,3,31.04383561643836
55-59,9,93,0.226,3,32.013698630136986
55-59,9,94,0.211,3,31.40821917808219
55-59,9,95,0.205,3,35.342465753424655
60-64,1,75,0.44,3,29.65205479452055
60-64,1,92,0.436,3,31.04383561643836
60-64,1,94,0.519,3,31.40821917808219
60-64,2,77,0.212,3,35.38904109589041
60-64,2,91,0.246,3,34.536986301369865
60-64,2,94,0.262,3,31.40821917808219
60-64,9,78,0.325,3,35.106849315068494
60-64,9,92,0.342,3,31.04383561643836
tsage,1,77,0.092,3,35.38904109589041
tsage,1,93,0.08,3,32.013698630136986
tsage,2,77,0.049,3,35.38904109589041
tsage,2,91,0.051,3,34.536986301369865
tsage,2,92,0.054,3,31.04383561643836
tsage,2,93,0.044,3,32.013698630136986
tsage,9,77,0.07,3,35.38904109589041
tsage,9,91,0.067,3,34.536986301369865
95et+,9,75,0.132,3,29.65205479452055
tsage,1,78,0.084,3,35.106849315068494
tsage,1,94,0.084,3,31.40821917808219
tsage,1,95,0.078,3,35.342465753424655
tsage,2,75,0.068,3,29.65205479452055
tsage,2,94,0.055,3,31.40821917808219
tsage,9,75,0.08,3,29.65205479452055
tsage,9,78,0.069,3,35.106849315068494
tsage,9,92,0.069,3,31.04383561643836
tsage,9,94,0.069,3,31.40821917808219
tsage,9,95,0.061,3,35.342465753424655
30-34,9,75,0.011,2,29.65205479452055
35-39,2,78,0.026,2,35.106849315068494
35-39,9,91,0.015,2,34.536986301369865
35-39,9,94,0.02,2,31.40821917808219
40-44,1,77,0.032,2,35.38904109589041
40-44,1,94,0.056,2,31.40821917808219
40-44,2,77,0.052,2,35.38904109589041
40-44,2,93,0.028,2,32.013698630136986
40-44,9,77,0.042,2,35.38904109589041
40-44,9,78,0.033,2,35.106849315068494
45-49,1,77,0.092,2,35.38904109589041
45-49,1,78,0.08,2,35.106849315068494
45-49,1,91,0.066,2,34.536986301369865
45-49,2,77,0.07,2,35.38904109589041
45-49,2,78,0.064,2,35.106849315068494
45-49,2,93,0.072,2,32.013698630136986
45-49,2,94,0.055,2,31.40821917808219
45-49,2,95,0.079,2,35.342465753424655
45-49,9,75,0.069,2,29.65205479452055
45-49,9,78,0.071,2,35.106849315068494
45-49,9,94,0.078,2,31.40821917808219
50-54,1,75,0.183,2,29.65205479452055
50-54,1,93,0.202,2,32.013698630136986
50-54,1,95,0.179,2,35.342465753424655
50-54,2,75,0.141,2,29.65205479452055
50-54,2,77,0.166,2,35.38904109589041
50-54,2,78,0.15,2,35.106849315068494
50-54,2,91,0.11,2,34.536986301369865
50-54,2,93,0.127,2,32.013698630136986
50-54,9,77,0.176,2,35.38904109589041
50-54,9,92,0.133,2,31.04383561643836
50-54,9,93,0.164,2,32.013698630136986
50-54,9,94,0.206,2,31.40821917808219
55-59,1,77,0.365,2,35.38904109589041
55-59,1,92,0.321,2,31.04383561643836
55-59,1,93,0.423,2,32.013698630136986
55-59,1,94,0.336,2,31.40821917808219
55-59,2,93,0.246,2,32.013698630136986
55-59,9,78,0.269,2,35.106849315068494
55-59,9,94,0.292,2,31.40821917808219
60-64,1,78,0.651,2,35.106849315068494
60-64,1,91,0.618,2,34.536986301369865
60-64,1,93,0.762,2,32.013698630136986
60-64,2,77,0.382,2,35.38904109589041
60-64,2,78,0.391,2,35.106849315068494
60-64,2,94,0.389,2,31.40821917808219
60-64,9,75,0.518,2,29.65205479452055
60-64,9,77,0.54,2,35.38904109589041
60-64,9,91,0.5,2,34.536986301369865
65-69,1,91,0.997,2,34.536986301369865
65-69,1,94,0.947,2,31.40821917808219
65-69,1,95,0.913,2,35.342465753424655
65-69,9,77,0.754,2,35.38904109589041
65-69,9,91,0.695,2,34.536986301369865
65-69,9,92,0.716,2,31.04383561643836
65-69,9,94,0.725,2,31.40821917808219
70-74,1,77,1.252,2,35.38904109589041
70-74,2,77,0.423,2,35.38904109589041
70-74,2,92,0.607,2,31.04383561643836
70-74,2,93,0.467,2,32.013698630136986
70-74,2,94,0.613,2,31.40821917808219
70-74,9,93,0.891,2,32.013698630136986
75-79,1,75,1.286,2,29.65205479452055
