ninsee,no2,o3,pm10
75,36.11232876712329,29.65205479452055,34.893150684931506
77,30.123287671232877,35.38904109589041,33.205479452054796
78,27.378082191780823,35.106849315068494,31.126027397260273
91,28.649315068493152,34.536986301369865,30.945205479452056
92,33.57260273972603,31.043835616438358,33.69315068493151
93,35.93150684931507,32.013698630136986,34.78904109589041
94,33.66027397260274,31.40821917808219,33.74520547945205
95,31.115068493150684,35.342465753424655,33.05205479452055
