ninsee,pm10,o3,no2
0,31.0,35.772602739726025,38.0
75,29.0,29.65205479452055,36.0
77,29.0,35.38904109589041,30.0
78,26.0,35.106849315068494,27.0
91,27.0,34.536986301369865,29.0
92,29.0,31.043835616438358,33.0
93,29.0,32.013698630136986,36.0
94,29.0,31.40821917808219,34.0
95,27.0,35.342465753424655,31.0
