cla_age_5,sexe,dept,Ntop,Npop,prev,Niveau prioritaire,no2,o3,pm10
40-44,2,92,1880.0,59330,3.167,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
40-44,2,95,1660.0,42310,3.919,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
40-44,9,75,3930.0,144620,2.715,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
40-44,9,91,2810.0,85230,3.302,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,1,92,1590.0,52020,3.064,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,1,94,1470.0,43790,3.348,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
45-49,2,93,2710.0,51130,5.294,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,2,94,2020.0,47030,4.295,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
45-49,2,95,1960.0,41570,4.705,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
45-49,9,77,4330.0,97180,4.452,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,9,78,3520.0,100730,3.493,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,1,77,2030.0,45750,4.433,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
50-54,1,78,1860.0,47050,3.947,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,1,92,1810.0,48500,3.732,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
50-54,9,91,3930.0,85920,4.57,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
50-54,9,94,4260.0,88900,4.795,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,9,95,4140.0,79800,5.188,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
50-54,9,0,37020.0,784370,4.72,"1,2,3",,,
55-59,1,75,3130.0,59070,5.296,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
55-59,1,77,2510.0,41390,6.072,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
55-59,1,93,2740.0,42360,6.464,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
55-59,2,77,2980.0,43240,6.895,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
55-59,2,91,2470.0,40080,6.155,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
55-59,2,92,2890.0,49090,5.887,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
55-59,2,0,23600.0,371900,6.346,"1,2,3",,,
55-59,9,91,4510.0,78460,5.742,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
55-59,9,92,4990.0,91480,5.456,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
60-64,2,75,4150.0,61100,6.791,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
60-64,2,77,3060.0,38210,8.006,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
60-64,9,77,5870.0,73690,7.968,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
60-64,9,91,4660.0,64580,7.213,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
60-64,9,92,5220.0,75710,6.897,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
60-64,9,93,6720.0,76170,8.828,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
60-64,9,94,5170.0,68450,7.554,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
65-69,1,75,4010.0,49690,8.068,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
65-69,1,77,3190.0,31710,10.059,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
65-69,1,93,3160.0,30790,10.253,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
65-69,1,94,2550.0,27870,9.146,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
65-69,2,92,2980.0,37400,7.973,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
65-69,2,95,2630.0,28610,9.183,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
65-69,9,91,4600.0,57690,7.967,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
65-69,9,0,47510.0,549290,8.649,"1,2,3",,,
70-74,1,93,2740.0,22530,12.174,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
70-74,2,75,4450.0,49820,8.927,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
70-74,2,93,2490.0,22680,10.993,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
70-74,2,94,2410.0,24980,9.636,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
70-74,9,77,5030.0,47810,10.527,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
70-74,9,91,4140.0,45310,9.135,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
70-74,9,0,41480.0,424460,9.772,"1,2,3",,,
75-79,1,92,1890.0,17420,10.851,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
