cla_age_5,sexe,dept,prev,Niveau prioritaire,no2,o3,pm10
35-39,2,75,2.239,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
35-39,2,77,3.37,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
35-39,2,92,2.557,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
35-39,2,92,2.375,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
40-44,1,75,2.545,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
40-44,1,93,3.109,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
40-44,2,75,2.88,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
40-44,2,92,3.167,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
40-44,2,95,3.919,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
40-44,1,75,2.715,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
40-44,1,91,3.302,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,1,92,3.064,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,1,94,3.348,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
45-49,2,93,5.294,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,2,94,4.295,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
45-49,2,95,4.705,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
45-49,2,77,4.452,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,1,78,3.493,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,1,77,4.433,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
50-54,1,78,3.947,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,1,92,3.732,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
50-54,1,91,4.57,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
50-54,1,94,4.795,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,1,95,5.188,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
55-59,1,75,5.296,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
55-59,1,77,6.072,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
55-59,1,93,6.464,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
55-59,2,77,6.895,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
55-59,2,91,6.155,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
55-59,2,92,5.887,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
55-59,1,91,5.742,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
55-59,1,92,5.456,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
60-64,2,75,6.791,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
60-64,2,77,8.006,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
60-64,1,77,7.968,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
60-64,1,91,7.213,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
60-64,1,92,6.897,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
60-64,1,93,8.828,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
60-64,1,94,7.554,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
65-69,1,75,8.068,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
65-69,1,77,10.059,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
65-69,1,93,10.253,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
65-69,1,94,9.146,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
65-69,2,92,7.973,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
65-69,2,95,9.183,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
65-69,1,91,7.967,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
70-74,1,93,12.174,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
70-74,2,75,8.927,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
70-74,2,93,10.993,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
70-74,2,94,9.636,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
70-74,1,77,10.527,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
70-74,1,91,9.135,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
75-79,1,92,10.851,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
75-79,1,93,14.762,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
75-79,1,94,12.354,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
75-79,1,95,12.97,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
75-79,2,78,9.672,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
75-79,2,92,9.691,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
75-79,2,93,12.103,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
75-79,1,77,12.726,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
75-79,1,91,10.448,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
75-79,1,95,11.977,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
80-84,1,77,14.773,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,1,93,14.857,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,2,77,11.833,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,1,77,13.044,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
80-84,1,93,13.782,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,1,94,12.441,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
80-84,1,95,13.035,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
85-89,1,91,13.523,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
85-89,1,93,16.721,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
00-04,1,93,7.097,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
00-04,2,77,4.883,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
00-04,2,78,5.484,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
00-04,1,75,5.939,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
00-04,1,78,7.078,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
00-04,1,95,6.673,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
05-09,1,75,5.62,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
05-09,1,78,5.881,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,2,75,3.598,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
05-09,2,78,3.849,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,2,92,3.817,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
05-09,2,95,4.22,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
05-09,1,78,4.896,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
05-09,1,94,4.741,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
05-09,1,95,5.36,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
10-14,1,78,3.884,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,1,93,4.82,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,1,94,4.219,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
10-14,1,95,4.409,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
10-14,2,75,2.515,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,2,77,3.215,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
10-14,2,91,2.595,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
10-14,2,92,2.478,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
10-14,2,93,3.045,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,2,95,2.924,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
10-14,1,75,3.278,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
10-14,1,78,3.131,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
10-14,1,93,3.954,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
10-14,1,95,3.684,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
15-19,1,78,2.437,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
15-19,2,77,2.451,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
15-19,2,78,2.08,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
15-19,2,91,2.17,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
15-19,1,75,2.425,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
15-19,1,91,2.351,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
20-24,1,75,1.645,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,1,77,2.145,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
20-24,1,78,1.838,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,1,91,1.813,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
20-24,1,93,1.907,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,2,75,1.535,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,2,93,2.187,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,1,75,1.582,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
20-24,1,78,1.896,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
20-24,1,92,1.765,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
20-24,1,93,2.059,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
20-24,1,95,1.945,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
25-29,1,75,1.523,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
25-29,1,77,2.052,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
25-29,1,78,1.938,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
25-29,1,92,1.668,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
25-29,1,93,1.925,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
25-29,1,94,1.698,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
25-29,1,77,2.239,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
30-34,1,78,2.251,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,1,92,1.834,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
30-34,2,93,2.827,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
30-34,2,95,2.814,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
30-34,1,75,1.811,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
30-34,1,78,2.433,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
30-34,1,91,2.462,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,1,78,2.613,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
35-39,1,91,2.503,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,1,92,2.166,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
35-39,1,93,2.681,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
35-39,1,94,2.332,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
35-39,2,78,2.745,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
35-39,1,91,2.822,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
35-39,1,93,3.107,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
40-44,1,77,3.248,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,1,78,2.806,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
40-44,1,94,2.826,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
40-44,1,95,2.991,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
40-44,2,77,3.984,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,2,91,3.612,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
40-44,2,94,3.526,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
40-44,2,77,3.63,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
40-44,1,78,2.965,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
40-44,1,92,2.869,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,1,77,3.866,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,1,91,3.522,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,1,93,3.729,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,1,95,3.61,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
45-49,2,77,4.996,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
45-49,2,78,3.756,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
45-49,1,91,3.838,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
45-49,2,92,3.426,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
45-49,2,93,4.516,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
45-49,2,95,4.169,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
50-54,1,75,3.819,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
50-54,1,93,4.887,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
50-54,1,94,4.233,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,2,77,5.92,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
50-54,2,78,4.645,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,2,91,5.117,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
50-54,2,92,4.695,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
50-54,2,94,5.309,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
50-54,1,77,5.192,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
50-54,1,78,4.307,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
50-54,1,92,4.244,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
55-59,1,78,4.994,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
55-59,1,92,4.957,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
55-59,1,94,5.564,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
55-59,2,75,5.523,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
55-59,2,93,7.882,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
55-59,2,94,6.57,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
55-59,2,95,6.829,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
55-59,1,77,6.492,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
55-59,1,78,5.266,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
55-59,1,94,6.09,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
55-59,1,95,6.299,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
60-64,1,78,6.525,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
60-64,1,91,7.161,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
60-64,1,93,8.299,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
60-64,1,94,7.367,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
60-64,2,78,6.957,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
60-64,2,91,7.262,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
60-64,2,95,8.054,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
60-64,1,78,6.754,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
65-69,1,78,8.007,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
65-69,1,91,8.396,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
65-69,1,92,8.43,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
65-69,2,77,9.019,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
65-69,2,91,7.581,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
65-69,2,94,8.724,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
65-69,1,77,9.519,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
65-69,1,93,10.12,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
70-74,1,75,9.352,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
70-74,1,77,11.366,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
70-74,1,91,9.656,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
70-74,2,78,8.804,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
70-74,1,75,9.118,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
70-74,1,92,9.075,"1,2,3",33.57260273972603,31.04383561643836,33.69315068493151
70-74,1,94,10.157,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
75-79,1,77,14.297,"1,2,3",30.12328767123288,35.38904109589041,33.2054794520548
75-79,1,78,11.568,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
75-79,1,91,11.659,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
75-79,2,75,10.072,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
75-79,2,91,9.458,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
75-79,2,94,10.655,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
75-79,2,95,11.153,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
75-79,1,75,10.555,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
75-79,1,78,10.546,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
75-79,1,93,13.369,"1,2,3",35.93150684931507,32.013698630136986,34.78904109589041
80-84,1,75,12.321,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
80-84,1,78,12.655,"1,2,3",27.378082191780823,35.106849315068494,31.126027397260277
80-84,1,91,13.184,"1,2,3",28.649315068493152,34.536986301369865,30.945205479452056
80-84,1,94,14.204,"1,2,3",33.66027397260274,31.40821917808219,33.74520547945205
80-84,1,95,14.476,"1,2,3",31.115068493150684,35.342465753424655,33.05205479452055
80-84,2,75,10.503,"1,2,3",36.11232876712329,29.65205479452055,34.893150684931506
